timestamp,temperature,rh,location
2023-02-20T20:22Z,13,80, hall (unscaled)
2023-02-20T20:27Z,13,80,
2023-02-20T20:32Z,13,80,
2023-02-20T20:37Z,13,80,
2023-02-20T20:42Z,13,80,
2023-02-20T20:47Z,13,80,
2023-02-20T20:52Z,13,80,
2023-02-20T20:57Z,13,80,
2023-02-20T21:02Z,13,80,
2023-02-20T21:07Z,13,80,
2023-02-20T21:12Z,13,80,
2023-02-20T21:17Z,13,80,
2023-02-20T21:22Z,13,80,
2023-02-20T21:27Z,13,80,
2023-02-20T21:11Z,15,78,
2023-02-20T21:16Z,15,78,
2023-02-20T21:21Z,14,78,
2023-02-20T21:26Z,14,79,
2023-02-20T21:31Z,14,80,
2023-02-20T21:36Z,13,80,
2023-02-20T21:41Z,13,80,
2023-02-20T21:46Z,13,80,
2023-02-20T21:51Z,13,80,
2023-02-20T21:56Z,13,80,
2023-02-20T22:01Z,13,81,
2023-02-20T22:06Z,13,81,
2023-02-20T22:11Z,13,81,
2023-02-20T22:16Z,13,81,
2023-02-20T22:21Z,13,81,
2023-02-20T22:26Z,13,81,
2023-02-20T22:31Z,13,81,
2023-02-20T22:36Z,13,81,
2023-02-20T22:41Z,13,81,
2023-02-20T22:46Z,13,81,
2023-02-20T22:51Z,13,81,
2023-02-20T22:56Z,13,81,
2023-02-20T23:01Z,13,81,
2023-02-20T23:06Z,13,81,
2023-02-20T23:11Z,13,81,
2023-02-20T23:16Z,13,81,
2023-02-20T23:21Z,13,81,
2023-02-20T23:26Z,13,81,
2023-02-20T23:31Z,13,81,
2023-02-20T23:36Z,13,81,
2023-02-20T23:41Z,13,81,
2023-02-20T23:46Z,13,81,
2023-02-20T23:51Z,13,81,
2023-02-20T23:56Z,13,81,
2023-02-21T00:01Z,13,81,
2023-02-21T00:06Z,13,81,
2023-02-21T00:11Z,13,81,
2023-02-21T00:16Z,13,81,
2023-02-21T00:21Z,13,81,
2023-02-21T00:26Z,13,81,
2023-02-21T00:31Z,13,81,
2023-02-21T00:36Z,13,81,
2023-02-21T00:41Z,13,81,
2023-02-21T00:46Z,13,81,
2023-02-21T00:51Z,13,81,
2023-02-21T00:56Z,13,81,
2023-02-21T01:01Z,13,81,
2023-02-21T01:06Z,13,81,
2023-02-21T01:11Z,13,81,
2023-02-21T01:16Z,13,81,
2023-02-21T01:21Z,13,81,
2023-02-21T01:26Z,13,81,
2023-02-21T01:31Z,13,81,
2023-02-21T01:36Z,13,81,
2023-02-21T01:41Z,13,81,
2023-02-21T01:46Z,13,81,
2023-02-21T01:51Z,13,81,
2023-02-21T01:56Z,13,81,
2023-02-21T02:01Z,13,81,
2023-02-21T02:06Z,13,81,
2023-02-21T02:11Z,13,81,
2023-02-21T02:16Z,13,81,
2023-02-21T02:21Z,13,81,
2023-02-21T02:26Z,13,81,
2023-02-21T02:31Z,13,81,
2023-02-21T02:36Z,13,81,
2023-02-21T02:41Z,13,81,
2023-02-21T02:46Z,13,81,
2023-02-21T02:51Z,13,81,
2023-02-21T02:56Z,13,81,
2023-02-21T03:01Z,13,81,
2023-02-21T03:06Z,13,81,
2023-02-21T03:11Z,13,81,
2023-02-21T03:16Z,13,81,
2023-02-21T03:21Z,13,81,
2023-02-21T03:26Z,13,81,
2023-02-21T03:31Z,13,81,
2023-02-21T03:36Z,13,81,
2023-02-21T03:41Z,13,81,
2023-02-21T03:46Z,13,81,
2023-02-21T03:51Z,13,81,
2023-02-21T03:56Z,13,81,
2023-02-21T04:01Z,13,81,
2023-02-21T04:06Z,13,81,
2023-02-21T04:11Z,13,81,
2023-02-21T04:16Z,13,81,
2023-02-21T04:21Z,13,81,
2023-02-21T04:26Z,13,81,
2023-02-21T04:31Z,13,81,
2023-02-21T04:36Z,13,81,
2023-02-21T04:41Z,13,81,
2023-02-21T04:46Z,13,81,
2023-02-21T04:51Z,13,81,
2023-02-21T04:56Z,13,81,
2023-02-21T05:01Z,13,81,
2023-02-21T05:06Z,13,81,
2023-02-21T05:11Z,13,81,
2023-02-21T05:16Z,13,81,
2023-02-21T05:21Z,13,81,
2023-02-21T05:26Z,13,81,
2023-02-21T05:31Z,13,81,
2023-02-21T05:36Z,13,81,
2023-02-21T05:41Z,13,81,
2023-02-21T05:46Z,13,81,
2023-02-21T05:51Z,13,81,
2023-02-21T05:56Z,13,81,
2023-02-21T06:01Z,13,81,
2023-02-21T06:06Z,13,81,
2023-02-21T06:11Z,13,81,
2023-02-21T06:16Z,13,81,
2023-02-21T06:21Z,13,81,
2023-02-21T06:26Z,13,81,
2023-02-21T06:31Z,13,81,
2023-02-21T06:36Z,13,81,
2023-02-21T06:41Z,13,81,
2023-02-21T06:46Z,13,81,
2023-02-21T06:51Z,13,81,
2023-02-21T06:56Z,13,81,
2023-02-21T07:01Z,13,81,
2023-02-21T07:06Z,13,81,
2023-02-21T07:11Z,13,81,
2023-02-21T07:16Z,13,81,
2023-02-21T07:21Z,13,81,
2023-02-21T07:26Z,13,81,
2023-02-21T07:31Z,13,81,
2023-02-21T07:36Z,13,81,
2023-02-21T07:41Z,13,82,
2023-02-21T07:46Z,13,81,
2023-02-21T07:51Z,13,81,
2023-02-21T07:56Z,13,82,
2023-02-21T08:01Z,13,82,
2023-02-21T08:06Z,13,81,
2023-02-21T08:11Z,13,81,
2023-02-21T08:16Z,13,81,
2023-02-21T08:21Z,13,81,
2023-02-21T08:26Z,13,82,
2023-02-21T08:31Z,13,81,
2023-02-21T08:36Z,13,81,
2023-02-21T08:41Z,13,81,
2023-02-21T08:46Z,13,81,
2023-02-21T08:51Z,13,81,
2023-02-21T08:56Z,13,81,
2023-02-21T09:01Z,13,81,
2023-02-21T09:06Z,13,81,
2023-02-21T09:11Z,13,81,
2023-02-21T09:16Z,13,81,
2023-02-21T09:21Z,13,82,
2023-02-21T09:26Z,13,81,
2023-02-21T09:31Z,13,81,
2023-02-21T09:36Z,13,81,
2023-02-21T09:41Z,13,81,
2023-02-21T09:46Z,13,81,
2023-02-21T09:51Z,13,81,
2023-02-21T09:56Z,13,81,
2023-02-21T10:01Z,13,81,
2023-02-21T10:06Z,13,81,
2023-02-21T10:11Z,13,81,
2023-02-21T10:16Z,13,81,
2023-02-21T10:21Z,13,81,
2023-02-21T10:26Z,13,81,
2023-02-21T10:31Z,13,81,
2023-02-21T10:36Z,13,81,
2023-02-21T10:41Z,13,81,
2023-02-21T10:46Z,13,81,
2023-02-21T10:51Z,13,81,
2023-02-21T10:56Z,13,81,
2023-02-21T11:01Z,13,81,
2023-02-21T11:06Z,14,81,
2023-02-21T11:11Z,14,81,
2023-02-21T11:16Z,14,81,
2023-02-21T11:21Z,14,81,
2023-02-21T11:26Z,14,81,
2023-02-21T11:31Z,15,81,
2023-02-21T11:36Z,15,81,
2023-02-21T11:41Z,15,81,
2023-02-21T11:46Z,15,80,
2023-02-21T11:51Z,15,80,
2023-02-21T11:56Z,15,80,
2023-02-21T12:01Z,15,81,
2023-02-21T12:06Z,15,81,
2023-02-21T12:11Z,15,81,
2023-02-21T12:16Z,15,81,
2023-02-21T12:21Z,15,81,
2023-02-21T12:26Z,15,81,
2023-02-21T12:31Z,15,81,
2023-02-21T12:36Z,15,81,
2023-02-21T12:41Z,15,81,
2023-02-21T12:46Z,15,81,
2023-02-21T12:51Z,14,82,
2023-02-21T12:56Z,14,82,
2023-02-21T13:01Z,14,82,
2023-02-21T13:06Z,14,82,
2023-02-21T13:11Z,14,82,
2023-02-21T13:16Z,14,82,
2023-02-21T13:21Z,14,82,
2023-02-21T13:26Z,14,82,
2023-02-21T13:31Z,14,82,
2023-02-21T13:36Z,14,82,
2023-02-21T13:41Z,14,82,
2023-02-21T13:46Z,14,83,
2023-02-21T13:51Z,14,83,
2023-02-21T13:56Z,14,83,
2023-02-21T14:01Z,14,83,
2023-02-21T14:06Z,14,83,
2023-02-21T14:11Z,14,83,
2023-02-21T14:16Z,14,83,
2023-02-21T14:21Z,14,82,
2023-02-21T14:26Z,14,83,
2023-02-21T14:31Z,14,82,
2023-02-21T14:36Z,14,82,
2023-02-21T14:41Z,14,82,
2023-02-21T14:46Z,14,82,
2023-02-21T14:51Z,14,82,
2023-02-21T14:56Z,14,82,
2023-02-21T15:01Z,14,82,
2023-02-21T15:06Z,14,82,
2023-02-21T15:11Z,14,82,
2023-02-21T15:16Z,14,82,
2023-02-21T15:21Z,14,82,
2023-02-21T15:26Z,14,82,
2023-02-21T15:31Z,14,82,
2023-02-21T15:36Z,14,82,
2023-02-21T15:41Z,14,82,
2023-02-21T15:46Z,14,82,
2023-02-21T15:51Z,14,82,
2023-02-21T15:56Z,14,82,
2023-02-21T16:01Z,14,82,
2023-02-21T16:06Z,14,82,
2023-02-21T16:11Z,14,82,
2023-02-21T16:16Z,14,82,
2023-02-21T16:21Z,14,82,
2023-02-21T16:26Z,14,82,
2023-02-21T16:31Z,14,82,
2023-02-21T16:36Z,14,82,
2023-02-21T16:41Z,14,82,
2023-02-21T16:46Z,14,82,
2023-02-21T16:51Z,14,82,
2023-02-21T16:56Z,14,82,
2023-02-21T17:01Z,14,82,
2023-02-21T17:06Z,14,82,
2023-02-21T17:11Z,14,82,
2023-02-21T17:16Z,14,82,
2023-02-21T17:21Z,14,82,
2023-02-21T17:26Z,14,82,
2023-02-21T17:31Z,14,82,
2023-02-21T17:36Z,14,82,
2023-02-21T17:41Z,14,82,
2023-02-21T17:46Z,14,81,
2023-02-21T17:51Z,14,81,
2023-02-21T17:56Z,14,81,
2023-02-21T18:01Z,14,82,
